Date,CPIAUCSL,DTWEXBGS,RIFSPFF_N.D,PCEPI,Close,High,Low,Volume,US3Y,US10Y,HIGH,CLOSE,sen_svc_positive,sen_svc_neutral,sen_svc_negative,sen_trans_positive,sen_trans_neutral,sen_trans_negative
2020-08-12,259.55764516129034,117.2679,0.1,104.94341935483871,3380.35009765625,3387.889892578125,3355.4599609375,3772250000.0,0.19,0.69,22.88,22.28,6,11,2,5,13,1
2020-08-13,259.5796129032258,117.1313,0.1,104.94854838709678,3373.429931640625,3387.239990234375,3363.35009765625,3438730000.0,0.19,0.71,22.92,22.13,9,6,5,6,14,0
2020-08-14,259.6015806451613,116.9512,0.1,104.95367741935485,3372.85009765625,3378.510009765625,3361.639892578125,3200060000.0,0.18,0.71,23.55,22.05,8,7,2,7,9,1
2020-08-15,259.6235483870968,116.9512,0.1,104.9588064516129,3372.85009765625,3378.510009765625,3361.639892578125,3200060000.0,0.18,0.71,23.55,22.05,6,4,2,5,7,0
2020-08-16,259.6455161290323,116.9512,0.1,104.96393548387097,3372.85009765625,3378.510009765625,3361.639892578125,3200060000.0,0.18,0.71,23.55,22.05,3,6,1,8,2,0
2020-08-17,259.6674838709677,116.7609,0.1,104.96906451612904,3381.989990234375,3387.590087890625,3379.219970703125,3460330000.0,0.18,0.69,22.82,21.35,8,3,6,8,7,2
2020-08-18,259.6894516129032,116.5722,0.09,104.9741935483871,3389.780029296875,3395.06005859375,3370.14990234375,3669550000.0,0.17,0.67,22.55,21.51,10,10,1,5,14,2
2020-08-19,259.7114193548387,116.5789,0.09,104.97932258064516,3374.85009765625,3399.5400390625,3369.659912109375,3679480000.0,0.17,0.68,22.98,22.54,4,12,4,7,12,1
2020-08-20,259.7333870967742,116.8243,0.09,104.98445161290323,3385.510009765625,3390.800048828125,3354.68994140625,3431040000.0,0.15,0.65,24.6,22.72,9,8,5,8,13,1
2020-08-21,259.75535483870965,117.0682,0.09,104.9895806451613,3397.159912109375,3399.9599609375,3379.31005859375,3505010000.0,0.16,0.64,24.47,22.54,5,8,7,8,12,0
2020-08-22,259.77732258064515,117.0682,0.09,104.99470967741937,3397.159912109375,3399.9599609375,3379.31005859375,3505010000.0,0.16,0.64,24.47,22.54,8,1,1,1,8,1
2020-08-23,259.79929032258065,117.0682,0.09,104.99983870967742,3397.159912109375,3399.9599609375,3379.31005859375,3505010000.0,0.16,0.64,24.47,22.54,5,1,4,2,8,0
2020-08-24,259.82125806451614,116.9238,0.09,105.00496774193549,3431.280029296875,3432.090087890625,3413.1298828125,3743410000.0,0.18,0.65,23.18,22.37,4,9,3,6,10,0
2020-08-25,259.84322580645164,116.8324,0.09,105.01009677419356,3443.6201171875,3444.2099609375,3425.840087890625,3627650000.0,0.18,0.69,23.43,22.03,12,5,4,9,12,0
2020-08-26,259.8651935483871,116.6358,0.09,105.01522580645162,3478.72998046875,3481.070068359375,3444.14990234375,3780530000.0,0.18,0.69,23.27,23.27,6,7,7,8,12,0
2020-08-27,259.8871612903226,116.6614,0.08,105.02035483870968,3484.550048828125,3501.3798828125,3468.35009765625,3955890000.0,0.19,0.74,27.09,24.47,13,7,2,4,18,0
2020-08-28,259.9091290322581,115.9506,0.09,105.02548387096775,3508.010009765625,3509.22998046875,3484.320068359375,3868510000.0,0.16,0.74,26.3,22.96,10,6,2,7,10,1
2020-08-29,259.9310967741936,115.9506,0.09,105.03061290322582,3508.010009765625,3509.22998046875,3484.320068359375,3868510000.0,0.16,0.74,26.3,22.96,6,6,0,3,9,0
2020-08-30,259.953064516129,115.9506,0.09,105.03574193548388,3508.010009765625,3509.22998046875,3484.320068359375,3868510000.0,0.16,0.74,26.3,22.96,4,4,1,1,8,0
2020-08-31,259.9750322580645,115.7717,0.09,105.04087096774194,3500.31005859375,3514.77001953125,3493.25,4348280000.0,0.15,0.72,26.5,26.41,3,9,5,7,8,2
2020-09-01,259.997,115.5814,0.09,105.046,3526.64990234375,3528.030029296875,3494.60009765625,4101490000.0,0.14,0.68,26.59,26.12,8,8,2,6,12,0
2020-09-02,260.00773333333336,116.0423,0.09,105.048,3580.840087890625,3588.110107421875,3535.22998046875,4295640000.0,0.16,0.66,27.07,26.57,5,10,6,8,12,1
2020-09-03,260.01846666666665,116.0799,0.09,105.05000000000001,3455.06005859375,3564.85009765625,3427.409912109375,4911830000.0,0.15,0.63,35.94,33.6,7,11,3,8,13,0
2020-09-04,260.0292,116.0457,0.09,105.052,3426.9599609375,3479.14990234375,3349.6298828125,4438720000.0,0.18,0.72,38.28,30.75,4,14,3,7,12,2
2020-09-05,260.03993333333335,116.0457,0.09,105.054,3426.9599609375,3479.14990234375,3349.6298828125,4438720000.0,0.18,0.72,38.28,30.75,5,6,1,4,8,0
2020-09-06,260.0506666666667,116.0457,0.09,105.05600000000001,3426.9599609375,3479.14990234375,3349.6298828125,4438720000.0,0.18,0.72,38.28,30.75,4,4,1,4,5,0
2020-09-07,260.0614,116.0457,0.09,105.058,3426.9599609375,3479.14990234375,3349.6298828125,4438720000.0,0.18,0.72,38.28,30.75,8,5,2,5,9,1
2020-09-08,260.07213333333334,116.4725,0.09,105.06,3331.840087890625,3379.969970703125,3329.27001953125,4694330000.0,0.17,0.69,35.93,31.46,8,4,6,9,9,0
2020-09-09,260.0828666666667,116.1396,0.09,105.062,3398.9599609375,3424.77001953125,3366.840087890625,3932520000.0,0.17,0.71,31.78,28.81,9,7,4,6,13,1
2020-09-10,260.09360000000004,115.8906,0.09,105.06400000000001,3339.18994140625,3425.550048828125,3329.25,4208630000.0,0.17,0.68,30.56,29.71,7,10,5,9,11,2
2020-09-11,260.10433333333333,116.0963,0.09,105.066,3340.969970703125,3368.949951171875,3310.469970703125,3710090000.0,0.16,0.67,29.73,26.87,4,15,1,7,12,1
2020-09-12,260.1150666666667,116.0963,0.09,105.068,3340.969970703125,3368.949951171875,3310.469970703125,3710090000.0,0.16,0.67,29.73,26.87,3,6,3,1,10,1
2020-09-13,260.1258,116.0963,0.09,105.07000000000001,3340.969970703125,3368.949951171875,3310.469970703125,3710090000.0,0.16,0.67,29.73,26.87,4,5,2,2,9,0
2020-09-14,260.1365333333334,115.6523,0.09,105.072,3383.5400390625,3402.929931640625,3363.56005859375,3839580000.0,0.16,0.68,26.79,25.85,8,7,1,1,12,3
2020-09-15,260.14726666666667,115.5996,0.09,105.074,3401.199951171875,3419.47998046875,3389.25,4057190000.0,0.16,0.68,26.0,25.59,4,11,7,9,13,0
2020-09-16,260.158,115.3623,0.09,105.076,3385.489990234375,3428.919921875,3384.449951171875,4718900000.0,0.16,0.69,26.59,26.04,8,9,5,8,14,0
2020-09-17,260.16873333333336,115.4476,0.09,105.078,3357.010009765625,3375.169921875,3328.820068359375,4379840000.0,0.16,0.69,28.92,26.46,9,11,3,6,17,0
2020-09-18,260.17946666666666,115.248,0.09,105.08,3319.469970703125,3362.27001953125,3292.39990234375,7076400000.0,0.16,0.7,28.1,25.83,10,10,2,4,17,1
2020-09-19,260.1902,115.248,0.09,105.082,3319.469970703125,3362.27001953125,3292.39990234375,7076400000.0,0.16,0.7,28.1,25.83,1,10,3,3,11,0
2020-09-20,260.20093333333335,115.248,0.09,105.084,3319.469970703125,3362.27001953125,3292.39990234375,7076400000.0,0.16,0.7,28.1,25.83,5,4,2,5,6,0
2020-09-21,260.2116666666667,116.3873,0.09,105.086,3281.06005859375,3285.570068359375,3229.10009765625,4836070000.0,0.16,0.68,31.18,27.78,7,9,2,2,16,0
2020-09-22,260.2224,116.5529,0.09,105.088,3315.570068359375,3320.31005859375,3270.949951171875,3974510000.0,0.15,0.68,28.78,26.86,5,10,6,8,11,2
2020-09-23,260.23313333333334,117.2631,0.09,105.09,3236.919921875,3323.35009765625,3232.570068359375,4378650000.0,0.15,0.68,29.73,28.58,13,8,4,5,19,1
2020-09-24,260.2438666666667,117.5578,0.09,105.092,3246.590087890625,3278.699951171875,3209.449951171875,4601920000.0,0.16,0.67,30.49,28.51,6,13,3,11,9,2
2020-09-25,260.25460000000004,117.8786,0.09,105.094,3298.4599609375,3306.8798828125,3228.43994140625,3803330000.0,0.15,0.66,30.43,26.38,8,10,2,5,14,1
2020-09-26,260.26533333333333,117.8786,0.09,105.09599999999999,3298.4599609375,3306.8798828125,3228.43994140625,3803330000.0,0.15,0.66,30.43,26.38,2,7,1,3,6,1
2020-09-27,260.2760666666667,117.8786,0.09,105.098,3298.4599609375,3306.8798828125,3228.43994140625,3803330000.0,0.15,0.66,30.43,26.38,5,4,3,4,8,0
2020-09-28,260.2868,117.629,0.09,105.1,3351.60009765625,3360.739990234375,3332.909912109375,3950910000.0,0.16,0.67,27.19,26.19,6,11,1,5,13,0
2020-09-29,260.2975333333334,117.5379,0.09,105.10199999999999,3335.469970703125,3357.919921875,3327.5400390625,3661590000.0,0.13,0.66,27.43,26.27,10,7,3,7,11,2
2020-09-30,260.30826666666667,116.957,0.09,105.104,3363.0,3393.56005859375,3340.469970703125,4738640000.0,0.16,0.69,27.12,26.37,7,11,4,9,12,1
2020-10-01,260.319,116.7339,0.09,105.106,3380.800048828125,3397.179931640625,3361.389892578125,4076340000.0,0.16,0.68,27.11,26.7,12,6,5,8,13,2
2020-10-02,260.33809677419356,116.7424,0.09,105.10983870967742,3348.419921875,3369.10009765625,3323.68994140625,3975180000.0,0.16,0.7,29.9,27.63,10,7,1,6,12,0
